"Title","Year","Venue","Venue Short","Authors","ISSN","Qualis CAPES"
"PA-Star: A disk-assisted parallel A-Star strategy with locality-sensitive hash for multiple sequence alignment.","2018","Journal of Parallel and Distributed Computing","J. Parallel Distributed Comput.","Daniel Sundfeld;Caina Razzolini;George Teodoro;Azzedine Boukerche;Alba Cristina Magalhaes Alves de Melo","1096-0848","A2"
"Tuning for Tissue Image Segmentation Workflows for Accuracy and Performance.","2018","Computing Research Repository (CoRR)","CoRR","Luis F. R. Taveira;Tahsin M. Kurç;Alba C. M. A. Melo;Jun Kong;Erich Bremer;Joel H. Saltz;George Teodoro","N/A","N/A"
"Algorithm sensitivity analysis and parameter tuning for tissue image segmentation pipelines.","2017","Bioinformatics","Bioinform.","George Teodoro;Tahsin M. Kurç;Luis F. R. Taveira;Alba C. M. A. Melo;Yi Gao 0002","2227-9709","C"
"Foldalign 2.5: multithreaded implementation for pairwise structural RNA alignment.","2016","Bioinformatics","Bioinform.","Daniel Sundfeld;Jakob Hull Havgaard;Alba Cristina Magalhaes Alves de Melo;Jan Gorodkin","2227-9709","C"
"Power-aware server consolidation for federated clouds.","2016","Concurrency and Computation: Practice and Experience","Concurr. Comput. Pract. Exp.","Alessandro Ferreira Leite;Azzedine Boukerche;Alba Cristina Magalhaes Alves de Melo;Christine Eisenbeis;Claude Tadonki;Célia Ghedini Ralha","1096-9128","A3"
"Efficient Methods and Parallel Execution for Algorithm Sensitivity Analysis with Parameter Tuning on Microscopy Imaging Datasets.","2016","Computing Research Repository (CoRR)","CoRR","George Teodoro;Tahsin M. Kurç;Luis F. R. Taveira;Alba C. M. A. Melo;Jun Kong;Joel H. Saltz","N/A","N/A"
"A Framework for Adaptive Fault-Tolerant Execution of Workflows in the Grid: Empirical and Theoretical Analysis.","2014","Journal of Grid Computing","J. Grid Comput.","Felipe Pontes Guimarães;Pedro Célestin;Daniel Macêdo Batista;Genaína Nunes Rodrigues;Alba Cristina Magalhaes Alves de Melo","1570-7873","A1"
"Parallel Smith-Waterman Comparison on Multicore and Manycore Computing Platforms with BSP++.","2013","International Journal of Parallel Programming","Int. J. Parallel Program.","Khaled Hamidouche;Fernando Machado Mendonca;Joel Falcou;Alba Cristina Magalhaes Alves de Melo;Daniel Etiemble","0885-7458","A4"
"Mundo Bit Byte - A digital mobile game to disseminate female personalities that made history in Computing.","2022","Journal on Interactive Systems (JIS)","J. Interact. Syst.","Aletéia P. F. Araújo;Ana Júlia Luziano Briceño;Ana Sofia S. Silvestre;Bianca P. Castro;Carla Denise Castanho;Carla Koike;Fernanda S. Marcilio;Hanani E. F. Soares;Maristela Holanda;Mauricio Miranda Sarmet;Roberta B. Oliveira;Tais A. Oliveira;Thamires P. Silva","2236-3297","B1"
"Optimized Solutions for Deploying a Militarized 4G/LTE Network With Maximum Coverage and Minimum Interference.","2022","IEEE Transactions on Network and Service Management","IEEE Trans. Netw. Serv. Manag.","Emerson de O. Antunes;Marcos F. Caetano;Marcelo Antonio Marotta;Aletéia P. F. Araújo;Lucas Bondan;Rodolfo I. Meneguette;Geraldo P. Rocha Filho","1932-4537","A1"
