Titulo,Ano,Venue,VenueShort,Type,Authors,ISSN,Qualis
"Through the Internet of Things - A Management by Delegation Smart Object Aware System (MbDSAS).","2013","Annual International Computer Software and Applications Conference (COMPSAC)","COMPSAC","Conference","Marcelo Antonio Marotta;Felipe Jose Carbone;José Jair Cardoso de Santanna;Liane Margarida Rockenbach Tarouco","-","A2"
"Whole-genome sequencing of patients with rare diseases in a national health system.","2020","Nature","Nat.","Journal","Ernest Turro;William J. Astle;Karyn Megy;Stefan Gräf;Daniel Greene;Olga Shamardina;Hana Lango Allen;Alba Sanchis-Juan;Mattia Frontini;Chantal Thys;Jonathan Stephens;Rutendo Mapeta;Oliver S. Burren;Kate Downes;Matthias Haimel;Salih Tuna;Sri V. V. Deevi;Timothy J. Aitman;David L. H. Bennett;Paul Calleja;Keren Carss;Mark J. Caulfield;Patrick F. Chinnery;Peter H. Dixon;Daniel P. Gale;Roger James;Ania Koziell;Michael A. Laffan;Adam P. Levine;Eamonn R. Maher;Hugh S. Markus;Joannella Morales;Nicholas W. Morrell;Andrew D. Mumford;Elizabeth Ormondroyd;Stuart Rankin;Augusto Rendon;Sylvia Richardson;Irene Roberts;Noemi B. A. Roy;Moin A. Saleem;Kenneth G. C. Smith;Hannah Stark;Rhea Y. Y. Tan;Andreas C. Themistocleous;Adrian J. Thrasher;Hugh Watkins;Andrew R. Webster;Martin R. Wilkins;Catherine Williamson;James Whitworth;Sean Humphray;David R. Bentley;Stephen Abbs;Lara Abulhoul;Julian Adlard;Munaza Ahmed;Hana Alachkar;David J. Allsup;Jeff Almeida-King;Philip Ancliff;Richard Antrobus;Ruth Armstrong;Gavin Arno;Sofie Ashford;Anthony Attwood;Paul Aurora;Christian Babbs;Chiara Bacchelli;Tamam Bakchoul;Siddharth Banka;Tadbir Bariana;Julian Barwell;Joana Batista;Helen E. Baxendale;Phil L. Beales;Agnieszka Bierzynska;Tina Biss;Maria A. K. Bitner-Glindzicz;Graeme C. M. Black;Marta Bleda;Iulia Blesneac;Detlef Bockenhauer;Harm Bogaard;Christian J. Bourne;Sara Boyce;John R. Bradley;Eugene Bragin;Gerome Breen;Paul Brennan;Carole Brewer;Matthew Brown;Andrew C. Browning;Michael J. Browning;Rachel J. Buchan;Matthew S. Buckland;Teofila Bueser;Carmen Bugarin Diz;John Burn;Siobhan O. Burns;Nigel Burrows;Carolyn Campbell;Gerald Carr-White;Ruth Casey;Jenny Chambers;John Chambers;Melanie M. Y. Chan;Calvin Cheah;Floria Cheng;Manali Chitre;Martin T. Christian;Colin Church;Jill Clayton-Smith;Maureen Cleary;Naomi Clements Brod;Gerry Coghlan;Elizabeth Colby;Trevor R. P. Cole;Janine Collins;Peter W. Collins;Camilla Colombo;Cecilia J. Compton;Robin Condliffe;Stuart A. Cook;H. Terence Cook;Nichola Cooper;Paul A. Corris;Abigail Furnell;Fiona Cunningham;Nicola S. Curry;Antony J. Cutler;Matthew J. Daniels;Mehul Dattani;Louise C. Daugherty;John Davis;Anthony De Soyza;Timothy Dent;Charu Deshpande;Eleanor F. Dewhurst;Sofia Douzgou;Anna M. Drazyk;Elizabeth Drewe;Daniel Duarte;Tina Dutt;J. David M. Edgar;Karen Edwards;William Egner;Melanie N. Ekani;Perry Elliott;Wendy N. Erber;Marie Erwood;Maria C. Estiu;Dafydd Gareth Evans;Gillian Evans;Tamara Everington;Mélanie Eyries;Hiva Fassihi;Remi Favier;Jack Findhammer;Debra Fletcher;Frances A. Flinter;R. Andres Floto;Tom Fowler;James Fox;Amy J. Frary;Courtney E. French;Kathleen Freson;Henning Gall;Vijeya Ganesan;Michael Gattens;Claire Geoghegan;Terence S. A. Gerighty;Ali G. Gharavi;Stefano Ghio;Hossein-Ardeschir Ghofrani;J. Simon R. Gibbs;Kate Gibson;Kimberly C. Gilmour;Barbara Girerd;Nicholas S. Gleadall;Sarah Goddard;David B. Goldstein;Keith Gomez;Pavels Gordins;David Gosal;Jodie Graham;Luigi Grassi;Lynn Greenhalgh;Andreas Greinacher;Paolo Gresele;Philip Griffiths;Sofia Grigoriadou;Russell J. Grocock;Detelina Grozeva;Mark Gurnell;Scott Hackett;Charaka Hadinnapola;William M. Hague;Rosie Hague;Matthew Hall;Helen L. Hanson;Eshika Haque;Kirsty Harkness;Andrew R. Harper;Claire L. Harris;Daniel Hart;Ahamad Hassan;Grant Hayman;Alex Henderson;Archana Herwadkar;Jonathan Hoffman;Simon Holden;Rita Horvath;Henry Houlden;Arjan C. Houweling;Luke S. G. E. Howard;Fengyuan Hu;Gavin Hudson;Joseph Hughes;Aarnoud P. Huissoon;Marc Humbert;Sarah Hunter;Matthew E. Hurles;Melita Irving;Louise Izatt;Sally A. Johnson;Stephen Jolles;Jennifer Jolley;Dragana Josifova;Neringa Jurkute;Tim Karten;Johannes Karten;Mary A. Kasanicki;Hanadi Kazkaz;Rashid Kazmi;Peter Kelleher;Anne M. Kelly;Wilf Kelsall;Carly Kempster;David G. Kiely;Nathalie Kingston;Robert Klima;Nils Koelling;Myrto Kostadima;Gabor Kovacs;Roman Kreuzhuber;Taco W. Kuijpers;Ajith Kumar;Dinakantha Kumararatne;Manju A. Kurian;Fiona Lalloo;Michele Lambert;Allan Lawrie;D. Mark Layton;Nick Lench;Claire Lentaigne;Tracy Lester;Rachel Linger;Hilary Longhurst;Lorena E. Lorenzo;Eleni Louka;Paul A. Lyons;Rajiv D. Machado;Robert V. MacKenzie Ross;Bella Madan;Jesmeen Maimaris;Samantha Malka;Sarah Mangles;Kevin J. Marchbank;Stephen Marks;Hanns-Ulrich Marschall;Andrew G. Marshall;Jennifer Martin;Mary Mathias;Emma Matthews;Heather Maxwell;Paul McAlinden;Mark I. McCarthy;Harriet McKinney;Aoife McMahon;Stuart Meacham;Adam J. Mead;Ignacio Medina Castello;Sarju G. Mehta;Michel Michaelides;Carolyn Millar;Shehla N. Mohammed;Shahin Moledina;David Montani;Anthony T. Moore;Monika Mozere;Keith W. Muir;Andrea H. Nemeth;William G. Newman;Michael Newnham;Sadia Noorani;Paquita Nurden;Jennifer O'Sullivan;Samya Obaji;Chris Odhams;Steven Okoli;Andrea Olschewski;Horst Olschewski;Kai Ren Ong;S. Helen Oram;Willem H. Ouwehand;Claire Palles;Sofia Papadia;Soo-Mi Park;David Parry 0003;Smita Patel;Joan Paterson;Andrew Peacock;Simon H. Pearce;John Peden;Kathelijne Peerlinck;Christopher J. Penkett;Joanna Pepke-Zaba;Romina Petersen;Clarissa Pilkington;Kenneth E. S. Poole;Radhika Prathalingam;Bethan Psaila;Angela Pyle;Richard Quinton;Shamima Rahman;Anupama Rao;F. Lucy Raymond;Paula J. Rayner-Matthews;Christine Rees;Tara Renton;Christopher J. Rhodes;Andrew S. C. Rice;Alex Richter;Leema Robert;Anthony Rogers;Sarah J. Rose;Robert Ross-Russell;Catherine Roughley;Deborah M. Ruddy;Omid Sadeghi-Alavijeh;Nilesh J. Samani;Crina Samarghitean;Ravishankar B. Sargur;Robert N. Sarkany;Simon Satchell;Sinisa Savic;John A. Sayer;Genevieve Sayer;Laura Scelsi;Andrew M. Schaefer;Sol Schulman;Richard Scott;Marie Scully;Claire Searle;Werner Seeger;Arjune Sen;W. A. Carrock Sewell;Denis Seyres;Neil Shah;Susan E. Shapiro;Adam C. Shaw;Patrick J. Short;Keith Sibson;Lucy Side;Ilenia Simeoni;Michael A. Simpson;Matthew C. Sims;Suthesh Sivapalaratnam;Damian Smedley;Katherine R. Smith;Katie Snape;Nicole Soranzo;Florent Soubrier;Laura Southgate;Olivera Spasic-Boskovic;Simon Staines;Emily Staples;Charles A. Steward;Kathleen E. Stirrups;Alex Stuckey;Jay Suntharalingam;Emilia M. Swietlik;Petros Syrris;R. Campbell Tait;Kate Talks;Katie Tate;John M. Taylor;Jenny C. Taylor;James E. Thaventhiran;Ellen Thomas;David Thomas 0004;Moira J. Thomas;Patrick Thomas;Kate Thomson;Glen Threadgold;Tobias Tilly;Marc Tischkowitz;Catherine Titterton;John A. Todd;Cheng-Hock Toh;Bas Tolhuis;Ian P. Tomlinson;Mark Toshner;Matthew Traylor;Carmen Treacy;Paul Treadaway;Richard Trembath;Wojciech Turek;Philip Twiss;Tom Vale;Chris Van Geet;Natalie van Zuydam;Maarten Vandekuilen;Anthony M. Vandersteen;Marta Vazquez-Lopez;Julie von Ziegenweidt;Anton Vonk-Noordegraaf;Annette Wagner;Quinten Waisfisz;Suellen M. Walker;Neil Walker;Klaudia Walter;James S. Ware;Christopher Watt;Lucy Wedderburn;Wei Wei;Steven B. Welch;Julie Wessels;Sarah K. Westbury;John-Paul Westwood;John Wharton;Deborah Whitehorn;Andrew O. M. Wilkie;Brian T. Wilson;Edwin K. S. Wong;Nicholas W. Wood;Yvette Wood;Christopher Geoffrey Woods;Emma R. Woodward;Stephen J. Wort;Austen Worth;Michael Wright;Katherine Yates;Patrick F. K. Yong;Timothy Young;Ping Yu;Patrick Yu-Wai-Man;Eliska Zlamalova","-","N/A"
"CellHeap: A Workflow for Optimizing COVID-19 Single-Cell RNA-Seq Data Processing in the Santos Dumont Supercomputer.","2021","Brazilian Symposium on Bioinformatics (BSB)","BSB","Conference","Vanessa S. Silva;Maiana O. C. Costa;Maria Clicia Stelling de Castro;Helena S. Silva;Maria Emília M. T. Walter;Alba C. M. A. Melo;Kary A. C. Ocaña;Marcelo T. dos Santos;Marisa F. Nicolas;Anna Cristina C. Carvalho;Andrea Henriques-Pons;Fabrício Alves Barbosa da Silva","-","B1"
"Venom Gland Peptides of Arthropods from the Brazilian Cerrado Biome Unveiled by Transcriptome Analysis.","2019","Brazilian Symposium on Bioinformatics (BSB)","BSB","Conference","Giovanni M. Guidini;Waldeyr M. C. Silva;Thalita S. Camargos;Caroline F. B. Mourão;Priscilla Galante;Tainá Raiol;Marcelo de Macedo Brígido;Maria Emília M. T. Walter;Elisabeth N. F. Schwartz","-","B1"
"Graph Databases in Molecular Biology.","2018","Brazilian Symposium on Bioinformatics (BSB)","BSB","Conference","Waldeyr Mendes Cordeiro da Silva;Polyane Wercelens;Maria Emília M. T. Walter;Maristela Holanda;Marcelo M. Brigido","-","B1"
"A terpenoid metabolic network modelled as graph database.","2017","International Journal of Data Mining and Bioinformatics (IJDMB)","Int. J. Data Min. Bioinform.","Journal","Waldeyr Mendes Cordeiro da Silva;Danilo Vilar;Daniel S. Souza;Maria Emília Telles Walter;Maristela Terto de Holanda;Marcelo de Macedo Brígido","1748-5673","A3"
"2Path: A terpenoid metabolic network modeled as graph database.","2016","IEEE International Conference on Bioinformatics and Biomedicine (BIBM)","BIBM","Conference","Waldeyr Mendes Cordeiro da Silva;Danilo Vilar;Daniel S. Souza;Maria Emília Telles Walter;Marcelo M. Brigido;Maristela Holanda","-","A2"
"Computational Simulations for Cyclizations Catalyzed by Plant Monoterpene Synthases.","2020","Brazilian Symposium on Bioinformatics (BSB)","BSB","Conference","Waldeyr Mendes Cordeiro da Silva;Daniela P. de Andrade;Jakob L. Andersen;Maria Emília Telles Walter;Marcelo M. Brigido;Peter F. Stadler;Christoph Flamm","-","B1"
"Managing data provenance for bioinformatics workflows using AProvBio.","2019","International Journal of Computational Biology and Drug Design (IJCBDD)","Int. J. Comput. Biol. Drug Des.","Journal","Rodrigo F. Almeida;Waldeyr Mendes Cordeiro da Silva;Klayton Castro;Aletéia Patrícia Favacho de Araújo;Maria Emília Telles Walter;Sérgio Lifschitz;Maristela Holanda","1756-0764","B2"
"Human-Computer Interaction Communicability Evaluation Method Applied to Bioinformatics.","2018","WorldCIST","WorldCIST","Conference","Gabriella Esteves;Waldeyr Mendes Cordeiro da Silva;Maria Emília Telles Walter;Marcelo M. Brigido;Fernanda Lima","-","N/A"
"AProvBio: An architecture for data provenance in bioinformatics workflows using graph database.","2017","IEEE International Conference on Bioinformatics and Biomedicine (BIBM)","BIBM","Conference","Rodrigo F. Almeida;Waldeyr Mendes Cordeiro da Silva;Klayton Castro;Maria Emília Telles Walter;Aletéia Patrícia Favacho de Araújo;Maristela Holanda;Sérgio Lifschitz","-","A2"
"Data provenance management for bioinformatics workflows using NoSQL database systems in a cloud computing environment.","2017","IEEE International Conference on Bioinformatics and Biomedicine (BIBM)","BIBM","Conference","Fernanda Hondo;Polyane Wercelens;Waldeyr Mendes Cordeiro da Silva;Klayton Castro;Ingrid Santana;Maria Emília Telles Walter;Aletéia Patrícia Favacho de Araújo;Maristela Holanda;Sérgio Lifschitz","-","A2"
"An evaluation of data replication for bioinformatics workflows on NoSQL systems.","2016","IEEE International Conference on Bioinformatics and Biomedicine (BIBM)","BIBM","Conference","Iasmini Lima;Matheus Oliveira;Diego Kieckbusch;Maristela Holanda;Maria Emília M. T. Walter;Aletéia Patrícia Favacho de Araújo;Márcio Victorino;Waldeyr Mendes Cordeiro da Silva;Sérgio Lifschitz","-","A2"
"A Pipeline to Characterize Virulence Factors in Mycobacterium Massiliense Genome.","2013","Brazilian Symposium on Bioinformatics (BSB)","BSB","Conference","Guilherme Menegói;Tainá Raiol;João Victor de Araújo Oliveira;Edans Flavius de Oliveira Sandes;Alba Cristina Magalhaes Alves de Melo;Andrea Queiroz Maranhão;Ildinete Silva-Pereira;Anamélia Lorenzetti Bocca;Ana Paula Junqueira-Kipnis;Maria Emília M. T. Walter;André Kipnis;Marcelo de Macedo Brígido","-","B1"
"Machine Learning Studies of Non-coding RNAs based on Artificially Constructed Training Data.","2021","International Joint Conference on Biomedical Engineering Systems and Technologies (BIOSTEC)","BIOINFORMATICS","Conference","Mirele C. S. F. Costa;João Victor de Araújo Oliveira;Waldeyr M. C. Silva;Rituparno Sen;Jörg Fallmann;Peter F. Stadler;Maria Emília M. T. Walter","-","A4"
"Advances in Bioinformatics and Computational Biology - 14th Brazilian Symposium on Bioinformatics, BSB 2021, Virtual Event, November 22-26, 2021, Proceedings","2021","Brazilian Symposium on Bioinformatics (BSB)","BSB","Conference","Peter F. Stadler;Maria Emília M. T. Walter;Maribel Hernandez-Rosales;Marcelo M. Brigido","-","B1"
"The Brazilian School Girls' Perspectives on a Computer Science Major.","2020","CLEI electronic journal","CLEI Electron. J.","Journal","Maristela Holanda;Roberto Nunes Mourão;Guilherme Novaes Ramos;Aletéia P. F. Araújo;Maria Emília M. T. Walter;Vinicius Borges;George von Borries","0717-5000","B2"
"What do Female Students in Middle and High Schools Think about Computer Science Majors in Brasilia, Brazil? A Survey in 2011 and 2019.","2020","Frontiers in Education Conference (FIE)","FIE","Conference","Maristela Holanda;Roberto Nunes Mourão;George von Borries;Guilherme Novaes Ramos;Aletéia Patrícia Favacho de Araújo;Maria Emília Telles Walter","-","A3"
"Meninas.comp Project: Programming for Girls in High School in Brazil.","2020","Research in Equitable and Sustained Participation in Engineering, Computing, and Technology (RESPECT)","RESPECT","Conference","Maristela Holanda;Aletéia P. F. Araújo;Maria Emília M. T. Walter","-","N/A"
"Live neighbor-joining.","2018","BMC Bioinformatics","BMC Bioinform.","Journal","Guilherme P. Telles;Graziela S. Araújo;Maria Emília Telles Walter;Marcelo M. Brigido;Nalvo F. Almeida","1471-2105","A1"
"Formalization of Block Pruning: Reducing the Number of Cells Computed in Exact Biological Sequence Comparison Algorithms.","2018","The Computer Journal","Comput. J.","Journal","Edans Flavius de Oliveira Sandes;George Luiz Medeiros Teodoro;Maria Emília M. T. Walter;Xavier Martorell;Eduard Ayguadé;Alba Cristina Magalhaes Alves de Melo","-","N/A"
"S2FS : Single Score Feature Selection Applied to the Problem of Distinguishing Long Non-coding RNAs from Protein Coding Transcripts.","2018","Brazilian Symposium on Bioinformatics (BSB)","BSB","Conference","Bruno C. Kümmel;André C. P. L. F. de Carvalho;Marcelo M. Brigido;Célia Ghedini Ralha;Maria Emília M. T. Walter","-","B1"
"An Argumentation Theory-Based Multiagent Model to Annotate Proteins.","2018","Brazilian Symposium on Bioinformatics (BSB)","BSB","Conference","Daniel S. Souza;Waldeyr Mendes Cordeiro da Silva;Célia Ghedini Ralha;Maria Emília M. T. Walter","-","B1"
"BioNimbuZ: a federated cloud platform for bioinformatics applications.","2017","International Journal of Data Mining and Bioinformatics (IJDMB)","Int. J. Data Min. Bioinform.","Journal","Aletéia Patrícia Favacho de Araújo;Michel J. F. Rosa;Breno Moura;Guilherme Vergara;Maristela Holanda;Maria Emília Telles Walter","1748-5673","A3"
"BioNimbuZ: A federated cloud platform for bioinformatics applications.","2016","IEEE International Conference on Bioinformatics and Biomedicine (BIBM)","BIBM","Conference","Michel J. F. Rosa;Breno Moura;Guilherme Vergara;Lucas Santos;Edward de Oliveira Ribeiro;Maristela Holanda;Maria Emília Telles Walter;Aletéia Patrícia Favacho de Araújo","-","A2"
"Knowledge-based reasoning to annotate noncoding RNA using multi-agent system.","2015","Journal of Bioinformatics and Computational Biology","J. Bioinform. Comput. Biol.","Journal","Wosley Arruda;Daniel S. Souza;Célia Ghedini Ralha;Maria Emília M. T. Walter;Tainá Raiol;Marcelo M. Brigido;Peter F. Stadler","0219-7200","B1"
"A study of genomic data provenance in NoSQL document-oriented database systems.","2015","IEEE International Conference on Bioinformatics and Biomedicine (BIBM)","BIBM","Conference","Valeria Guimarâes;Fernanda Hondo;Rodrigo F. Almeida;Harley Vera Olivera;Maristela Holanda;Aletéia P. F. Araújo;Maria Emília Telles Walter;Sérgio Lifschitz","-","A2"
"A Multi-objective Optimization Approach Associated to Climate Change Analysis to Improve Systematic Conservation Planning.","2015","International Conference on Evolutionary Multi-Criterion Optimization (EMO)","EMO","Conference","Shana Schlottfeldt;Jon Timmis;Maria Emília Telles Walter;André Carlos Ponce de Leon Ferreira de Carvalho;Lorena M. Simon;Rafael D. Loyola;José Alexandre Felizola Diniz-Filho","-","B1"
"Genomic data persistency on a NoSQL database system.","2014","IEEE International Conference on Bioinformatics and Biomedicine (BIBM)","BIBM","Conference","Rodrigo Aniceto;Rene Xavier;Maristela Holanda;Maria Emília Telles Walter;Sérgio Lifschitz","-","A2"
"Storing provenance data of genome project workflows using graph database.","2014","IEEE International Conference on Bioinformatics and Biomedicine (BIBM)","BIBM","Conference","Rodrigo Pinheiro;Bruno Aires;Aletéia P. F. Araújo;Maristela Holanda;Maria Emília Telles Walter;Sérgio Lifschitz","-","A2"
"A Storage Policy for a Hybrid Federated Cloud platform: A Case Study for Bioinformatics.","2014","IEEE/ACM International Symposium on Cluster, Cloud and Internet Computing (CCGRID)","CCGRID","Conference","Deric Lima;Breno Moura;Gabriel S. S. de Oliveira;Edward de Oliveira Ribeiro;Aletéia Patrícia Favacho de Araújo;Maristela Holanda;Roberto C. Togawa;Maria Emília Telles Walter","-","A2"
"Excalibur: an autonomic cloud architecture for executing parallel applications.","2014","European Conference on Computer Systems (EuroSys)","CloudDP@EuroSys","Conference","Alessandro Ferreira Leite;Tainá Raiol;Claude Tadonki;Maria Emília M. T. Walter;Christine Eisenbeis;Alba Cristina Magalhaes Alves de Melo","-","A1"
"Multi-objective optimization applied to systematic conservation planning and spatial conservation priorities under climate change.","2014","Annual Conference on Genetic and Evolutionary Computation (GECCO)","GECCO","Conference","Shana Schlottfeldt;Jon Timmis;Maria Emília M. T. Walter;André C. P. L. F. de Carvalho;José Alexandre Felizola Diniz-Filho;Lorena M. Simon;Rafael D. Loyola;Mariana P. C. Telles","-","N/A"
"Storage Policy for Genomic Data in Hybrid Federated Clouds.","2014","Brazilian Symposium on Bioinformatics (BSB)","BSB","Conference","Ricardo Gallon;Maristela Holanda;Aletéia P. F. Araújo;Maria Emília Telles Walter","-","B1"
"Genome-Wide Identification of Non-coding RNAs in Komagatella pastoris str. GS115.","2014","Brazilian Symposium on Bioinformatics (BSB)","BSB","Conference","Hugo W. Schneider;Sebastian Bartschat;Gero Doose;Lucas Maciel 0001;Erick Pizani;Marcelo Bassani;Fernando Araripe Torres;Sebastian Will;Tainá Raiol;Marcelo M. Brigido;Maria Emília Telles Walter;Peter F. Stadler","-","B1"
"Provenance in bioinformatics workflows.","2013","BMC Bioinformatics","BMC Bioinform.","Journal","Renato de Paula;Maristela Holanda;Luciana S. A. Gomes;Sérgio Lifschitz;Maria Emília M. T. Walter","1471-2105","A1"
"ACOsched: A scheduling algorithm in a federated cloud infrastructure for bioinformatics applications.","2013","IEEE International Conference on Bioinformatics and Biomedicine (BIBM)","BIBM","Conference","Gabriel S. S. de Oliveira;Edward de Oliveira Ribeiro;Diogo A. Ferreira;Aletéia P. F. Araújo;Maristela T. Holanda;Maria Emília M. T. Walter","-","A2"
"Automatic capture of provenance data in genome project workflows.","2013","IEEE International Conference on Bioinformatics and Biomedicine (BIBM)","BIBM","Conference","Rodrigo Pinheiro;Maristela Holanda;Aletéia P. F. Araújo;Maria Emília Telles Walter;Sérgio Lifschitz","-","A2"
"ncRNA-Agents: A Multiagent System for Non-coding RNA Annotation.","2013","Brazilian Symposium on Bioinformatics (BSB)","BSB","Conference","Wosley Arruda;Célia Ghedini Ralha;Tainá Raiol;Marcelo M. Brigido;Maria Emília M. T. Walter;Peter F. Stadler","-","B1"
"Democratising Artificial Intelligence for Pandemic Preparedness and Global Governance in Latin American and Caribbean Countries.","2024","Computing Research Repository (CoRR)","CoRR","Journal","André C. P. L. F. de Carvalho;Robson Bonidia;Jude Dzevela Kong;Mariana Dauhajre;Cláudio José Struchiner;Guilherme Tegoni Goedert;Peter F. Stadler;Maria Emília M. T. Walter;Danilo Sipoli Sanches;Troy Day;Marcia Castro;John Edmunds;Manuel Colomé-Hidalgo;Demian Arturo Herrera Morban;Edian F. Franco;Cesar Ugarte-Gil;Patricia Espinoza-Lopez;Gabriel Carrasco-Escobar;Ulisses Nunes da Rocha","-","N/A"
"A Barrier for Further Approximating Sorting by Transpositions.","2023","Journal of Computational Biology (JCB)","J. Comput. Biol.","Journal","Luiz Augusto G. Silva;Luis A. B. Kowada;Maria Emília M. T. Walter","1557-8666","A2"
"A barrier for further approximating Sorting By Transpositions.","2023","Computing Research Repository (CoRR)","CoRR","Journal","Luiz Augusto G. da Silva;Luis Antonio Brasil Kowada;Maria Emília M. T. Walter","-","N/A"
"A new 1.375-approximation algorithm for sorting by transpositions.","2022","Algorithms for Molecular Biology","Algorithms Mol. Biol.","Journal","Luiz Augusto G. Silva;Luis Antonio Brasil Kowada;Noraí Romeu Rocco;Maria Emília M. T. Walter","1748-7188","A2"
"Are spliced ncRNA host genes distinct classes of lncRNAs?","2020","Theory in Biosciences","Theory Biosci.","Journal","Rituparno Sen;Jörg Fallmann;Maria Emília M. T. Walter;Peter F. Stadler","1431-7613","A3"
"An algebraic 1.375-approximation algorithm for the Transposition Distance Problem.","2020","Computing Research Repository (CoRR)","CoRR","Journal","Luiz Augusto G. Silva;Luis A. B. Kowada;Noraí Romeu Rocco;Maria Emília M. T. Walter","-","N/A"
"A Genetic Algorithm for Character State Live Phylogeny.","2018","Brazilian Symposium on Bioinformatics (BSB)","BSB","Conference","Rafael L. Fernandes;Rogério Güths;Guilherme P. Telles;Nalvo F. Almeida;Maria Emília M. T. Walter","-","B1"
"A Workflow for Predicting MicroRNAs Targets via Accessibility in Flavivirus Genomes.","2018","Brazilian Symposium on Bioinformatics (BSB)","BSB","Conference","Andressa Valadares;Maria Emília M. T. Walter;Tainá Raiol","-","B1"
"Distance-based Live Phylogeny.","2017","International Joint Conference on Biomedical Engineering Systems and Technologies (BIOSTEC)","BIOINFORMATICS","Conference","Graziela S. Araújo;Guilherme P. Telles;Maria Emília M. T. Walter;Nalvo F. Almeida","-","A4"
"A Branch and Bound for the Large Live Parsimony Problem.","2017","International Joint Conference on Biomedical Engineering Systems and Technologies (BIOSTEC)","BIOINFORMATICS","Conference","Rogério Güths;Guilherme P. Telles;Maria Emília M. T. Walter;Nalvo F. Almeida","-","A4"
"A Heuristic for the Live Parsimony Problem.","2017","International Joint Conference on Biomedical Engineering Systems and Technologies (BIOSTEC)","BIOSTEC","Conference","Rogério Güths;Guilherme P. Telles;Maria Emília M. T. Walter;Nalvo F. Almeida","-","A4"
"Using a multi-objective artificial immune system approach for biodiversity conservation.","2017","International Conference on Natural Computation, Fuzzy Systems and Knowledge Discovery (ICNC-FSKD)","ICNC-FSKD","Conference","Shana Schlottfeldt;Maria Emília Telles Walter;André C. P. L. F. de Carvalho;Mariana P. C. Telles;José Alexandre Felizola Diniz-Filho","-","A4"
"SnoReport 2.0: new features and a refined Support Vector Machine to improve snoRNA identification.","2016","BMC Bioinformatics","BMC Bioinform.","Journal","João Victor de Araújo Oliveira;Fabrizio Costa;Rolf Backofen;Peter F. Stadler;Maria Emília Telles Walter;Jana Hertel","1471-2105","A1"
"Using Multi-Objective Artificial Immune Systems to Find Core Collections Based on Molecular Markers.","2015","Annual Conference on Genetic and Evolutionary Computation (GECCO)","GECCO","Conference","Shana Schlottfeldt;Maria Emília M. T. Walter;Jon Timmis;André C. P. L. F. de Carvalho;Mariana P. C. Telles;José Alexandre Felizola Diniz-Filho","-","N/A"
"Live Phylogeny.","2013","Journal of Computational Biology (JCB)","J. Comput. Biol.","Journal","Guilherme P. Telles;Nalvo F. Almeida;Rosane Minghim;Maria Emília M. T. Walter","1557-8666","A2"
"A Hybrid Robotic System for Arm Training of Stroke Survivors: Concept and First Evaluation.","2019","IEEE Transactions on Biomedical Engineering","IEEE Trans. Biomed. Eng.","Journal","Emilia Ambrosini;Michael Friedrich Russold;Margit Gföhler;Markus Puchinger;Matthias Weber 0006;Sebastian Becker;Karsten Krakow;Nancy Immick;Andreas Augsten;Mauro Rossini;Davide Proserpio;Johannes Zajc;Giulio Gasperini;Franco Molteni;Alessandra Pedrocchi;Simona Ferrante;Giancarlo Ferrigno;S. Dalla Gasperina;Maria Bulgheroni;Walter Baccinelli;Thomas Schauer;Constantin Wiesener","0018-9294","A1"
"The combined action of a passive exoskeleton and an EMG-controlled neuroprosthesis for upper limb stroke rehabilitation: First results of the RETRAINER project.","2017","International Conference on Rehabilitation Robotics (ICORR)","ICORR","Conference","Emilia Ambrosini;Simona Ferrante;Johannes Zajc;Maria Bulgheroni;Walter Baccinelli;Enrico d'Amico;Thomas Schauer;Constantin Wiesener;Michael Friedrich Russold;Margit Gföhler;Markus Puchinger;Matthias Weber 0006;Sebastian Becker;Karsten Krakow;Mauro Rossini;Davide Proserpio;Giulio Gasperini;Franco Molteni;Giancarlo Ferrigno;Alessandra Pedrocchi","-","A3"
"Teaching Algorithms to Indigenous Students of Brazil's Amazon.","2025","Technical Symposium on Computer Science Education (SIGCSE)","SIGCSE","Conference","Maristela Holanda;Edison Ishikawa;Dilma Da Silva","-","A2"
"Programa de Monitoria da Disciplina de Programação Introdutória na Universidade de Brasília.","2024","Revista Brasileira de Inform&#225;tica na Educa&#231;&#227;o","Revista Brasileira de Informática na Educ.","Journal","Maristela Holanda;Ian Nery Bandeira;Carla Denise Castanho;Aline Barros de Sousa;Dilma Da Silva","2317-6121","A4"
"A Literature Mapping of the Congress of Latin American Women in Computing (LAWCC) Papers.","2024","Congress of Latin American Women in Computing (LAWCC)","LAWCC@CLEI","Conference","Maristela Holanda;María Elena García-Díaz;Alexandra González Eras;Carolina González-Süllow;Alicia García-Holgado;Gabriela Marín-Raventós;Donna A. Roper;Germania Rodríguez Morales;Rosiane de Freitas","-","N/A"
"Gender Bias in Tech - Young People's Perception of STEM in Portugal.","2024","WorldCIST","WorldCIST","Conference","Helena Elias;Isabel Pedrosa;Maristela Holanda","-","N/A"
"Automating Source Code Plagiarism Detection in a Moodle-Based Programming Course.","2023","Frontiers in Education Conference (FIE)","FIE","Conference","Rodrigo C. Aniceto;Maristela Holanda;Dilma Da Silva","-","A3"
