Titulo,Ano,Venue,VenueShort,Type,Authors,ISSN,Qualis
"Dohko: an autonomic system for provision, configuration, and management of inter-cloud environments based on a software product line engineering method.","2017","Cluster Computing","Clust. Comput.","Journal","Alessandro Ferreira Leite;Vander Alves;Genaína Nunes Rodrigues;Claude Tadonki;Christine Eisenbeis;Alba Cristina Magalhaes Alves de Melo","1386-7857","A2"
"Parallel and Efficient Sensitivity Analysis of Microscopy Image Segmentation Workflows in Hybrid Systems.","2017","IEEE International Conference on Cluster Computing (CLUSTER)","CLUSTER","Conference","Willian Barreiros;George Teodoro;Tahsin M. Kurç;Jun Kong;Alba C. M. A. Melo;Joel H. Saltz","-","A3"
"Autonomic Provisioning, Configuration, and Management of Inter-cloud Environments Based on a Software Product Line Engineering Method.","2016","International Conference on Cloud and Autonomic Computing (ICCAC)","ICCAC","Conference","Alessandro Ferreira Leite;Vander Alves;Genaína Nunes Rodrigues;Claude Tadonki;Christine Eisenbeis;Alba Cristina Magalhaes Alves de Melo","-","A3"
"Automating Resource Selection and Configuration in Inter-clouds through a Software Product Line Method.","2015","IEEE International Conference on Cloud Computing (CLOUD)","CLOUD","Conference","Alessandro Ferreira Leite;Vander Alves;Genaína Nunes Rodrigues;Claude Tadonki;Christine Eisenbeis;Alba Cristina Magalhaes Alves de Melo","-","A2"
"Multiple biological sequence alignment in heterogeneous multicore clusters with user-selectable task allocation policies.","2013","The Journal of Supercomputing","J. Supercomput.","Journal","Emerson de Araujo Macedo;Alba Cristina Magalhaes Alves de Melo;Gerson Henrique Pfitscher;Azzedine Boukerche","0920-8542","A2"
"HiCOMB 2024 Preface and Committees.","2024","IEEE International Parallel and Distributed Processing Symposium (IPDPS)","IPDPS","Conference","Alba Cristina Magalhaes Alves de Melo;Ananth Kalyanaraman","-","A1"
"A Novel Statistical and Neural Network Combined Approach for the Cloud Spot Market.","2023","IEEE Transactions on Cloud Computing","IEEE Trans. Cloud Comput.","Journal","Gustavo Portella;Eduardo Yoshio Nakano;Genaína Nunes Rodrigues;Azzedine Boukerche;Alba C. M. A. Melo","2168-7161","A1"
"Building robust pathology image analyses with uncertainty quantification.","2021","Computer Methods and Programs in Biomedicine","Comput. Methods Programs Biomed.","Journal","Jeremias M. Gomes;Jun Kong;Tahsin M. Kurç;Alba C. M. A. Melo;Renato Ferreira 0001;Joel H. Saltz;George Teodoro","0169-2607","A1"
"A CPU-FPGA heterogeneous approach for biological sequence comparison using high-level synthesis.","2021","Concurrency and Computation: Practice and Experience","Concurr. Comput. Pract. Exp.","Journal","Carlos Antônio Campos Jorge;Alexandre Solon Nery;Alba C. M. A. Melo;Alfredo Goldman","1096-9128","A3"
"Using GPU to accelerate the pairwise structural RNA alignment with base pair probabilities.","2020","Concurrency and Computation: Practice and Experience","Concurr. Comput. Pract. Exp.","Journal","Daniel Sundfeld;George Teodoro;Jakob Hull Havgaard;Jan Gorodkin;Alba C. M. A. Melo","1096-9128","A3"
"MASA-StarPU: Parallel Sequence Comparison with Multiple Scheduling Policies and Pruning.","2020","Symposium on Computer Architecture and High Performance Computing (SBAC-PAD)","SBAC-PAD","Conference","Rafael A. Lopes;Samuel Thibault;Alba C. M. A. Melo","-","A4"
"Statistical analysis of Amazon EC2 cloud pricing models.","2019","Concurrency and Computation: Practice and Experience","Concurr. Comput. Pract. Exp.","Journal","Gustavo Portella;Genaína Nunes Rodrigues;Eduardo Yoshio Nakano;Alba C. M. A. Melo","1096-9128","A3"
"Multi-objective Parameter Auto-tuning for Tissue Image Segmentation Workflows.","2019","Journal of Imaging Informatics in Medicine","J. Digit. Imaging","Journal","Luis F. R. Taveira;Tahsin M. Kurç;Alba C. M. A. Melo;Jun Kong;Erich Bremer;Joel H. Saltz;George Teodoro","-","N/A"
"Trends on heterogeneous and innovative hardware and software systems.","2019","Journal of Parallel and Distributed Computing","J. Parallel Distributed Comput.","Journal","Alba de Melo;Jesús Carretero 0001;Per Stenström;Sanjay Ranka;Eduard Ayguadé","1096-0848","A2"
"Utility-Based Strategy for Balanced Cost and Availability at the Cloud Spot Market.","2019","IEEE International Conference on Cloud Computing (CLOUD)","CLOUD","Conference","Gustavo Portella;Eduardo Yoshio Nakano;Genaína Nunes Rodrigues;Alba C. M. A. Melo","-","A2"
"APDCM 2019 Keynote Talk.","2019","IEEE International Parallel and Distributed Processing Symposium (IPDPS)","IPDPS Workshops","Conference","Alba Cristina Magalhaes Alves de Melo","-","A1"
"Introduction to HiCOMB 2019.","2019","IEEE International Parallel and Distributed Processing Symposium (IPDPS)","IPDPS Workshops","Conference","Alba Cristina Magalhaes Alves de Melo;Ananth Kalyanaraman","-","A1"
"Cooperative and out-of-core execution of the irregular wavefront propagation pattern on hybrid machines with Intel® Xeon Phi™.","2018","Concurrency and Computation: Practice and Experience","Concurr. Comput. Pract. Exp.","Journal","Jeremias M. Gomes;Alba Cristina Magalhaes Alves de Melo;Jun Kong;Tahsin M. Kurç;Joel H. Saltz;George Teodoro","1096-9128","A3"
"PA-Star: A disk-assisted parallel A-Star strategy with locality-sensitive hash for multiple sequence alignment.","2018","Journal of Parallel and Distributed Computing","J. Parallel Distributed Comput.","Journal","Daniel Sundfeld;Caina Razzolini;George Teodoro;Azzedine Boukerche;Alba Cristina Magalhaes Alves de Melo","1096-0848","A2"
"Tuning for Tissue Image Segmentation Workflows for Accuracy and Performance.","2018","Computing Research Repository (CoRR)","CoRR","Journal","Luis F. R. Taveira;Tahsin M. Kurç;Alba C. M. A. Melo;Jun Kong;Erich Bremer;Joel H. Saltz;George Teodoro","-","N/A"
"Algorithm sensitivity analysis and parameter tuning for tissue image segmentation pipelines.","2017","Bioinformatics","Bioinform.","Journal","George Teodoro;Tahsin M. Kurç;Luis F. R. Taveira;Alba C. M. A. Melo;Yi Gao 0002","2227-9709","C"
"CUDA-Sankoff: Using GPU to Accelerate the Pairwise Structural RNA Alignment.","2017","International Euromicro Conference on Parallel, Distributed and Network-Based Processing (PDP)","PDP","Conference","Daniel Sundfeld;Jakob Hull Havgaard;Jan Gorodkin;Alba Cristina Magalhaes Alves de Melo","-","A4"
"Foldalign 2.5: multithreaded implementation for pairwise structural RNA alignment.","2016","Bioinformatics","Bioinform.","Journal","Daniel Sundfeld;Jakob Hull Havgaard;Alba Cristina Magalhaes Alves de Melo;Jan Gorodkin","2227-9709","C"
"Power-aware server consolidation for federated clouds.","2016","Concurrency and Computation: Practice and Experience","Concurr. Comput. Pract. Exp.","Journal","Alessandro Ferreira Leite;Azzedine Boukerche;Alba Cristina Magalhaes Alves de Melo;Christine Eisenbeis;Claude Tadonki;Célia Ghedini Ralha","1096-9128","A3"
"Efficient Methods and Parallel Execution for Algorithm Sensitivity Analysis with Parameter Tuning on Microscopy Imaging Datasets.","2016","Computing Research Repository (CoRR)","CoRR","Journal","George Teodoro;Tahsin M. Kurç;Luis F. R. Taveira;Alba C. M. A. Melo;Jun Kong;Joel H. Saltz","-","N/A"
"Parallel A-Star Multiple Sequence Alignment with Locality-Sensitive Hash Functions.","2015","International Conference on Complex, Intelligent and Software Intensive Systems (CISIS)","CISIS","Conference","Daniel Sundfeld;George Teodoro;Alba Cristina Magalhaes Alves de Melo","-","A4"
"Efficient Irregular Wavefront Propagation Algorithms on Intel(R) Xeon Phi(TM).","2015","Symposium on Computer Architecture and High Performance Computing (SBAC-PAD)","SBAC-PAD","Conference","Jeremias M. Gomes;George Teodoro;Alba de Melo;Jun Kong;Tahsin M. Kurç;Joel H. Saltz","-","A4"
"A Framework for Adaptive Fault-Tolerant Execution of Workflows in the Grid: Empirical and Theoretical Analysis.","2014","Journal of Grid Computing","J. Grid Comput.","Journal","Felipe Pontes Guimarães;Pedro Célestin;Daniel Macêdo Batista;Genaína Nunes Rodrigues;Alba Cristina Magalhaes Alves de Melo","1570-7873","A1"
