"Title","Year","Venue","Venue Short","Authors","ISSN","Qualis CAPES"
"An Agent-Based Model for Simulating Irrigated Agriculture in the Samambaia Basin in Goiás.","2021","Revista de Inform&#225;tica Te&#243;rica e Aplicada - RITA","RITA","Guido Dutra de Oliveira;Pedro Phelipe Gonçalves Porto;Conceição de Maria Albuquerque Alves;Célia Ghedini Ralha","2175-2745","C"
"Abnormal Behavior Detection Based on Traffic Pattern Categorization in Mobile Networks.","2021","IEEE Transactions on Network and Service Management","IEEE Trans. Netw. Serv. Manag.","Jonathan M. DeAlmeida;Camila F. T. Pontes;Luiz A. DaSilva;Cristiano Bonato Both;João J. C. Gondim;Célia Ghedini Ralha;Marcelo Antonio Marotta","1932-4537","A1"
"Artificial Intelligence-Driven Fog Radio Access Networks: Integrating Decision Making Considering Different.","2021","IEEE Vehicular Technology Magazine","IEEE Veh. Technol. Mag.","Jonathan M. DeAlmeida;Luiz A. DaSilva;Cristiano Bonato Both;Célia Ghedini Ralha;Marcelo Antonio Marotta","N/A","N/A"
"Towards Auditability Requirements Specification Using an Agent-Based Approach.","2020","Computing Research Repository (CoRR)","CoRR","Denis José S. de Albuquerque;Vanessa Tavares Nunes;Claudia Cappelli;Célia Ghedini Ralha","N/A","N/A"
"Bot Development for Social Engineering Attacks on Twitter.","2020","Computing Research Repository (CoRR)","CoRR","Jefferson Viana Fonseca Abreu;Jorge Henrique Cabral Fernandes;João José Costa Gondim;Célia Ghedini Ralha","N/A","N/A"
"The Next Generation of Deduction Systems: From Composition to Compositionality (Dagstuhl Seminar 23471).","2023","Dagstuhl Reports","Dagstuhl Reports","Maria Paola Bonacina;Pascal Fontaine;Cláudia Nalon;Claudia Schon;Martin Desharnais","2192-5283","B2"
"Local is Best: Efficient Reductions to Modal Logic K.","2022","Journal of Automated Reasoning","J. Autom. Reason.","Fabio Papacchini;Cláudia Nalon;Ullrich Hustadt;Clare Dixon","0168-7433","A2"
"Correction to: Local is Best: Efficient Reductions to Modal Logic K.","2022","Journal of Automated Reasoning","J. Autom. Reason.","Fabio Papacchini;Cláudia Nalon;Ullrich Hustadt;Clare Dixon","0168-7433","A2"
"Reasoning about Petri Nets: A Calculus Based on Resolution and Dynamic Logic.","2021","ACM Transactions on Computational Logic (TOCL)","ACM Trans. Comput. Log.","Bruno Lopes 0001;Cláudia Nalon;Edward Hermann Haeusler","N/A","N/A"
"sf Kn : Architecture, Refinements, Strategies and Experiments.","2020","Journal of Automated Reasoning","J. Autom. Reason.","Cláudia Nalon;Ullrich Hustadt;Clare Dixon","0168-7433","A2"
"SAT and Interactions (Dagstuhl Seminar 20061).","2020","Dagstuhl Reports","Dagstuhl Reports","Olaf Beyersdorff;Uwe Egly;Meena Mahajan;Cláudia Nalon","2192-5283","B2"
"A lightweight and enhanced model for detecting the Neotropical brown stink bug, Euschistus heros (Hemiptera: Pentatomidae) based on YOLOv8 for soybean fields.","2024","Ecological Informatics","Ecol. Informatics","Bruno Pinheiro de Melo Lima;Lurdineide de A. B. Borges;Edson Hirose;Díbio Leandro Borges","1574-9541","A1"
"A Multi-Layer Feature Fusion Method for Few-Shot Image Classification.","2023","Sensors","Sensors","Jacó C. Gomes;Lurdineide de A. B. Borges;Díbio Leandro Borges","2079-6374","A3"
"A deep unsupervised saliency model for lung segmentation in chest X-ray images.","2023","Biomedical Signal Processing and Control","Biomed. Signal Process. Control.","Pedro Aurélio Coelho de Almeida;Díbio Leandro Borges","1746-8094","A1"
"A Data-Centric Approach for Wind Plant Instance-Level Segmentation Using Semantic Segmentation and GIS.","2023","Remote Sensing","Remote. Sens.","Osmar Luiz Ferreira de Carvalho;Osmar Abílio de Carvalho Júnior;Anesmar Olino de Albuquerque;Alex Gois Orlandi;Issao Hirata;Díbio Leandro Borges;Roberto Arnaldo Trancoso Gomes;Renato Fontes Guimarães","2072-4292","A1"
"Multispectral panoptic segmentation: Exploring the beach setting with worldview-3 imagery.","2022","International Journal of Applied Earth Observation and Geoinformation","Int. J. Appl. Earth Obs. Geoinformation","Osmar Luiz Ferreira de Carvalho Jr.;Osmar Abílio de Carvalho Júnior;Anesmar Olino de Albuquerque;Níckolas Castro Santana;Díbio Leandro Borges;Argélica Saiaka Luiz;Roberto Arnaldo Trancoso Gomes;Renato Fontes Guimarães","0303-2434","A2"
"Detection and classification of whiteflies and development stages on soybean leaves images using an improved deep learning strategy.","2022","Computers and Electronics in Agriculture","Comput. Electron. Agric.","Rubens de Castro Pereira;Edson Hirose;Osmar Luiz Ferreira de Carvalho;Ronaldo Martins da Costa;Díbio Leandro Borges","0168-1699","A1"
"An automatic phytopathometry system for chlorosis and necrosis severity evaluation of asian soybean rust infection.","2022","Computers and Electronics in Agriculture","Comput. Electron. Agric.","Diego Alves da Silva;Cristiane Lemes Hamawaki;Breno Cezar Marinho Juliatti;Lucas dos Santos Nascimento;Osvaldo Toshiyuki Hamawaki;Díbio Leandro Borges;Fernando Cezar Juliatti;Ana Paula Oliveira Nogueira","0168-1699","A1"
"Rethinking Panoptic Segmentation in Remote Sensing: A Hybrid Approach Using Semantic Segmentation and Non-Learning Methods.","2022","IEEE Geoscience and Remote Sensing Letters","IEEE Geosci. Remote. Sens. Lett.","Osmar Luiz Ferreira de Carvalho Jr.;Osmar A. de Carvalho Júnior;Anesmar Olino de Albuquerque;Níckolas Castro Santana;Díbio Leandro Borges","1558-0571","A2"
"Panoptic Segmentation Meets Remote Sensing.","2022","Remote Sensing","Remote. Sens.","Osmar Luiz Ferreira de Carvalho Jr.;Osmar Abílio de Carvalho Júnior;Cristiano Rosa Silva;Anesmar Olino de Albuquerque;Níckolas Castro Santana;Díbio Leandro Borges;Roberto Arnaldo Trancoso Gomes;Renato Fontes Guimarães","2072-4292","A1"
"Bounding Box-Free Instance Segmentation Using Semi-Supervised Iterative Learning for Vehicle Detection.","2022","IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing","IEEE J. Sel. Top. Appl. Earth Obs. Remote. Sens.","Osmar Luiz Ferreira de Carvalho Jr.;Osmar Abílio de Carvalho Júnior;Anesmar Olino de Albuquerque;Níckolas Castro Santana;Renato Fontes Guimarães;Roberto Arnaldo Trancoso Gomes;Díbio Leandro Borges","1939-1404","A2"
"An analytical and a Deep Learning model for solving the inverse kinematic problem of an industrial parallel robot.","2021","Computers &#38; Industrial Engineering","Comput. Ind. Eng.","Juan S. Toquica;Patrícia S. Oliveira;Witenberg Santiago Rodrigues Souza;José Maurício S. T. Motta;Díbio Leandro Borges","0360-8352","A1"
"Instance Segmentation for Governmental Inspection of Small Touristic Infrastructure in Beach Zones Using Multispectral High-Resolution WorldView-3 Imagery.","2021","ISPRS International Journal of Geo-Information","ISPRS Int. J. Geo Inf.","Osmar Luiz Ferreira de Carvalho Jr.;Rebeca dos Santos de Moura;Anesmar Olino de Albuquerque;Pablo Pozzobon de Bem;Rubens de Castro Pereira;Weigang Li 0001;Díbio Leandro Borges;Renato Fontes Guimarães;Roberto Arnaldo Trancoso Gomes;Osmar Abílio de Carvalho Júnior","2220-9964","A4"
"Instance Segmentation for Large, Multi-Channel Remote Sensing Imagery Using Mask-RCNN and a Mosaicking Approach.","2021","Remote Sensing","Remote. Sens.","Osmar Luiz Ferreira de Carvalho Jr.;Osmar Abílio de Carvalho Júnior;Anesmar Olino de Albuquerque;Pablo Pozzobon de Bem;Cristiano Rosa Silva;Pedro Henrique Guimarães Ferreira;Rebeca dos Santos de Moura;Roberto Arnaldo Trancoso Gomes;Renato Fontes Guimarães;Díbio Leandro Borges","2072-4292","A1"
"Bounding Box-Free Instance Segmentation Using Semi-Supervised Learning for Generating a City-Scale Vehicle Dataset.","2021","Computing Research Repository (CoRR)","CoRR","Osmar Luiz Ferreira de Carvalho Jr.;Osmar Abílio de Carvalho Júnior;Anesmar Olino de Albuquerque;Níckolas Castro Santana;Díbio Leandro Borges;Roberto Arnaldo Trancoso Gomes;Renato Fontes Guimarães","N/A","N/A"
"Panoptic Segmentation Meets Remote Sensing.","2021","Computing Research Repository (CoRR)","CoRR","Osmar Luiz Ferreira de Carvalho Jr.;Osmar Abílio de Carvalho Júnior;Cristiano Rosa Silva;Anesmar Olino de Albuquerque;Níckolas Castro Santana;Díbio Leandro Borges;Roberto Arnaldo Trancoso Gomes;Renato Fontes Guimarães","N/A","N/A"
