Ano,Docente,MestradoAcademico,MestradoProfissional,Doutorado,DoutoradoProfissional,ProdBibliograficas,ProdTecnicas,ProdArtisticas,TurmasMinistradas,ProjetosPesquisa
2024,Docente: ALBA CRISTINA MAGALHAES ALVES DE MELO,3,0,4,0,4,2,0,2,5
2024,Docente: ALETEIA PATRICIA FAVACHO DE ARAUJO VON PAUMGARTTEN,0,0,6,0,17,5,0,0,6
2024,Docente: ANDRE COSTA DRUMMOND,0,0,4,0,8,0,0,0,1
2024,Docente: BRUNO LUIGGI MACCHIAVELLO ESPINOZA,2,0,3,0,1,0,0,0,4
2024,Docente: CELIA GHEDINI RALHA,3,0,4,0,8,9,0,0,9
2024,Docente: CLAUDIA NALON,0,0,0,0,4,11,0,2,2
2024,Docente: DIBIO LEANDRO BORGES,3,0,2,0,1,2,0,1,3
2024,Docente: EDNA DIAS CANEDO,9,0,6,0,27,0,0,1,2
2024,Docente: EDUARDO ADILIO PELINSON ALCHIERI,1,0,4,0,6,0,0,1,3
2024,Docente: EDUARDO PEIXOTO FERNANDES DA SILVA,2,0,0,0,2,6,0,0,1
2024,Docente: FLAVIO DE BARROS VIDAL,5,0,4,0,2,3,0,0,2
2024,Docente: GENAINA NUNES RODRIGUES,4,0,5,0,5,3,0,1,6
2024,Docente: GEORGE LUIZ MEDEIROS TEODORO,0,0,1,0,5,0,0,0,2
2024,Docente: GERALDO PEREIRA ROCHA FILHO,4,0,4,0,5,0,0,0,2
2024,Docente: JACIR LUIZ BORDIM,1,0,2,0,2,0,0,0,2
2024,Docente: LI WEIGANG,1,0,6,0,11,2,0,2,3
2024,Docente: LUIS PAULO FAINA GARCIA,6,0,2,0,5,0,0,0,3
2024,Docente: MARCELO ANTONIO MAROTTA,3,0,2,0,6,2,0,0,3
2024,Docente: MARIA EMILIA MACHADO TELLES WALTER,1,0,3,0,0,0,0,0,5
2024,Docente: MARISTELA TERTO DE HOLANDA,3,0,4,0,16,4,0,0,2
2024,Docente: MAURICIO AYALA RINCON,2,0,4,0,9,9,0,0,6
2024,Docente: MYLENE CHRISTINE QUEIROZ DE FARIAS,0,0,2,0,6,4,0,0,5
2024,Docente: PEDRO GARCIA FREITAS,0,0,0,0,7,5,0,0,2
2024,Docente: PRISCILA AMERICA SOLIS MENDEZ BARRETO,5,0,1,0,2,0,0,2,2
2024,Docente: RICARDO LOPES DE QUEIROZ,2,0,2,0,5,0,0,4,1
2024,Docente: RICARDO PEZZUOL JACOBI,6,0,6,0,1,0,0,1,1
2024,Docente: ROBERTO LUIS ROSELLO VALERA,0,0,0,0,0,0,0,0,0
2024,Docente: RODOLFO MORAES REIS,0,0,0,0,0,0,0,0,0
2024,Docente: RODRIGO BONIFACIO DE ALMEIDA,11,0,4,0,6,0,0,2,3
2024,Docente: TEOFILO EMIDIO DE CAMPOS,0,0,2,0,0,0,0,0,4
2024,Docente: THIAGO DE PAULO FALEIROS,7,0,0,0,3,0,0,1,2
2024,Docente: VANDER RAMOS ALVES,3,0,0,0,0,0,0,1,2
2024,Docente: VINICIUS RUELA PEREIRA BORGES,2,0,0,0,6,7,0,1,1
